,timepoint,mean_firing_rate,group
0,0,15.686335893901786,pre-stim
1,1,13.640816390079678,pre-stim
2,2,10.554454639728503,pre-stim
3,3,9.405914009619051,pre-stim
4,4,14.245861981223058,pre-stim
5,5,14.33285906470264,pre-stim
6,6,15.05759231836805,pre-stim
7,7,11.425285377530773,pre-stim
8,8,18.4123756286876,pre-stim
9,9,20.622737798234137,pre-stim
10,10,21.068042798379782,pre-stim
11,11,19.648334143793736,pre-stim
12,12,17.431214588263337,pre-stim
13,13,18.882248743709294,pre-stim
14,14,19.64330019603879,pre-stim
15,15,18.814381685913823,pre-stim
16,16,22.834911259713195,pre-stim
17,17,22.796807169141815,pre-stim
18,18,19.98731806129308,pre-stim
19,19,18.73489027345005,pre-stim
20,20,22.538438476150404,pre-stim
21,21,23.67145118334042,pre-stim
22,22,21.780062916513454,pre-stim
23,23,16.815967953441216,pre-stim
24,24,23.20258706622743,pre-stim
25,25,16.806381909362386,pre-stim
26,26,15.608660733351394,pre-stim
27,27,17.897089822677,pre-stim
28,28,16.06208304543649,pre-stim
29,29,16.94138773490592,pre-stim
30,30,15.961114833763551,pre-stim
31,31,19.4359020570641,pre-stim
32,32,13.926108436240467,pre-stim
33,33,17.28936697009954,pre-stim
34,34,17.040890069265362,pre-stim
35,35,16.954149211484953,pre-stim
36,36,14.66901905434017,pre-stim
37,37,17.669583006643194,pre-stim
38,38,16.531316603582848,pre-stim
39,39,25.729875485764143,pre-stim
40,40,20.857142857142858,pre-stim
41,41,22.47300931181478,pre-stim
42,7,0.0,post-stim
43,8,6.0,post-stim
44,9,1.0,post-stim
45,10,0.0,post-stim
46,11,0.0,post-stim
47,12,0.6666666666666666,post-stim
48,13,0.3333333333333333,post-stim
49,14,4.396248534583722,post-stim
50,15,10.0,post-stim
51,16,5.111111111111111,post-stim
52,17,9.333333333333334,post-stim
53,18,10.444444444444445,post-stim
54,19,5.926900584795285,post-stim
55,20,5.394379175305141,post-stim
56,21,10.894103956555334,post-stim
57,22,13.857142857142858,post-stim
58,23,11.727602567680705,post-stim
59,24,6.541456058670709,post-stim
60,25,19.497868182625616,post-stim
61,26,18.363636363636374,post-stim
62,27,8.683871967759421,post-stim
63,28,10.0,post-stim
64,29,9.04348053073497,post-stim
65,30,7.285714285714286,post-stim
66,31,12.5,post-stim
67,32,9.960753096506483,post-stim
68,33,6.528986415882951,post-stim
69,34,9.926382060506125,post-stim
70,35,9.071190135777401,post-stim
71,36,9.400001753088885,post-stim
72,37,12.209710908800501,post-stim
73,38,15.554876222583076,post-stim
74,39,7.461110374280715,post-stim
75,40,9.171400866042516,post-stim
76,41,14.382802565174197,post-stim
77,42,13.551847812248289,post-stim
78,43,10.222920573809791,post-stim
79,44,13.004950031971472,post-stim
80,45,12.967706943045464,post-stim
81,46,12.937645472583046,post-stim
82,47,14.197013702468555,post-stim
83,48,10.221828426364983,post-stim
84,49,11.604646568395875,post-stim
85,50,18.959699360760133,post-stim
86,51,13.299660783380222,post-stim
87,52,9.122800918074638,post-stim
88,53,12.872781642619401,post-stim
89,54,14.574330583384192,post-stim
90,55,13.537592441060227,post-stim
91,56,13.863063708159126,post-stim
92,57,14.437379727821446,post-stim
93,58,12.773988238213553,post-stim
94,59,10.37056418376174,post-stim
95,60,13.668854108892912,post-stim
96,61,15.181519002517206,post-stim
97,62,13.333314924517664,post-stim
98,63,12.479892834503739,post-stim
99,64,13.661185475490015,post-stim
100,65,17.45457218174884,post-stim
101,66,15.42894824701614,post-stim
102,67,15.189682074941372,post-stim
103,68,13.505844496979249,post-stim
104,69,13.507154170146737,post-stim
105,70,10.612903225806452,post-stim
106,71,9.87823137216723,post-stim
107,72,6.445718110697377,post-stim
108,73,9.162082567221184,post-stim
109,74,4.416666666666667,post-stim
110,75,8.213359175090579,post-stim
111,76,2.579656717573184,post-stim
112,77,11.090909090909092,post-stim
113,78,13.272727272727273,post-stim
114,79,26.192522615277127,post-stim
115,80,16.614298323035733,post-stim
116,81,0.0,post-stim
117,82,3.8181818181818183,post-stim
118,83,13.383130314870357,post-stim
119,84,13.0,post-stim
120,85,12.083131947801228,post-stim
121,86,0.0,post-stim
122,87,0.0,post-stim
123,88,9.0,post-stim
124,89,35.05460428744869,post-stim
